hotelName,attractionsNearby,reviewWords,reviewStars,address,latitude,longitude,review,accommodationCapacity,budget,typeOfStay,stayPreference,foodPreference,starRating,facilities,checkInTime,checkOutTime
"Fortune Resort Sullivan Court, Ooty - Member ITC's Hotel Group","['Botanical Gardens', 'Thread Garden', 'Ooty Lake']",Poor,1,"Near, 123 Selbourne Road, Garden Rd, Rose Garden Road, Ooty (Udhagamandalam), Tamil Nadu 643001",11.40534401,76.70687866,Left much to be desired. I wouldn't stay here again.,1,5846,Single,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
Savoy - IHCL SeleQtions,"['Ooty Lake', 'Doddabetta Peak', 'Wax World Museum', 'Botanical Gardens', 'Thread Garden', 'Rose Garden']",Good,3,"77, Sylks Road, Ooty, Tamil Nadu 643001",11.41496658,76.69285583,Good value for the price. I was quite satisfied.,4,6551,Single,Boys,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,3:00 PM
Vinayaga Inn by Poppys,"['Thread Garden', 'Botanical Gardens', 'Doddabetta Peak', 'Wax World Museum', 'Rose Garden']",Excellent,5,"36-C, Garden Road, Udhagamandalam, Tamil Nadu 643001",11.41524506,76.7096405,"Exemplary service, accommodations, and atmosphere.",4,7195,Single,Mixed,Non-Veg,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
Aakash Rooms And Cottages,"['Rose Garden', 'Wax World Museum', 'Thread Garden', 'Doddabetta Peak', 'Ooty Lake', 'Botanical Gardens']",Fair,2,"380, Peytons Hill Rd, Ooty (Udhagamandalam), Tamil Nadu 643001",11.41295624,76.69676971,"Fair, but there's a lot of room for improvement.",3,5719,Family,Girls,Mixed,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
Hotel Silver Oak,['Botanical Gardens'],Good,3,"Ettiness Road, Near Alankar Theatre, Bombay Castle, Ooty, Tamil Nadu 643001",11.40863895,76.70874023,"Enjoyed my stay, though there's room for improvement.",3,8479,Couple,Mixed,Non-Veg,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
Orchid Square A Boutique Hotel,"['Botanical Gardens', 'Wax World Museum', 'Ooty Lake', 'Thread Garden', 'Rose Garden']",Excellent,5,"Brooklands Roadopp.TO CMS, Coonoor, Nilgiris, Tamil Nadu 643101",11.41306686,76.6904068,Beyond excellent. This place sets the standard.,2,7806,Couple,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",12:00 AM,3:00 PM
Meadows Residency,"['Ooty Lake', 'Doddabetta Peak', 'Wax World Museum', 'Thread Garden']",Excellent,5,"Charring Cross, P.O. Box, Coonoor Road, Ooty 643001",11.41116238,76.71103668,"Incredible experience, can't wait to come back!",2,5005,Single,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
The Woodlands Residency- Unmarried and stag groups not allowed,['Thread Garden'],Fair,2,"Ooty Charing Cross Near Alankar Theatre, Ooty 643006",11.40615654,76.70909882,"Acceptable, but I hope for improvements next time.",1,9156,Single,Girls,Mixed,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",12:00 AM,1:00 PM
FabHotel Sholas Residency I - Hotel on Shoram Palace Road,"['Doddabetta Peak', 'Wax World Museum']",Very Good,4,"Shoreham Palace Road, Ooty, Tamil Nadu 643001",11.41002178,76.70954895,Exceptionally good. A few steps from being perfect.,3,5807,Family,Girls,Veg Only,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,2:00 PM
Hotel Sunpark Grand,"['Ooty Lake', 'Doddabetta Peak', 'Thread Garden', 'Wax World Museum', 'Botanical Gardens']",Poor,1,"168/p2, Church Hill Road, Charring Cross, Ooty, Tamil Nadu 643001",11.41267681,76.70475006,Quite unsatisfactory. Needs a lot of improvement.,4,9657,Couple,Boys,Non-Veg,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
